COL001,COL002,COL003,COL004,COL005,COL006,COL007,COL008,COL009,COL010,COL011,COL012,COL013,COL014,COL015,COL016,COL017,COL018,COL019,COL020
0.1818163982,0.0082637515,-0.125605125,0.0007940747,0.0061859709,0.086736473,0.0124144218,0.0083542663,0.00974853,0.0008212691,0.1130857932,0.1282510796,-0.003594242,0.0989542936,0.0008560076,0.1723278976,0.1677652353,0.0014002167,0.1676056867,0.0073811417
0.0082637515,0.1336106261,0.0580737366,0.0128388195,0.1000164939,0.0039422663,0.2007198151,0.1350740939,0.1576169369,0.0132785063,0.0051398713,0.00582915,-0.058112694,0.0044975794,0.0138401678,0.0078324889,0.007625111,0.0226390919,0.0076178593,0.1193403468
-0.125605125,0.0580737366,0.1173065981,0.0055803812,0.0434720777,-0.059920588,0.0872426844,0.0587098316,0.0685080577,0.0057714907,-0.07812362,-0.08860033,-0.02525863,-0.068361086,0.0060156163,-0.119050137,-0.11589809,0.0098400606,-0.115787868,0.0518711728
0.0007940747,0.0128388195,0.0055803812,0.1216621868,0.0096107154,0.0003788175,0.019287429,0.012979446,0.0151456172,0.1258287121,0.0004938969,0.0005601306,0.1631279381,0.0004321783,0.1311510831,0.0007526341,0.0007327069,0.2145307396,0.00073201,0.0114675697
0.0061859709,0.1000164939,0.0434720777,0.0096107154,0.074869038,0.0029510501,0.1502522124,0.1011119975,0.1179868239,0.0099398505,0.0038475376,0.0043635088,-0.04350124,0.0033667391,0.0103602917,0.005863142,0.0057079058,0.0169468752,0.0057024774,0.089334235
0.086736473,0.0039422663,-0.059920588,0.0003788175,0.0029510501,0.0413780926,0.0059223655,0.0039854468,0.0046505877,0.0003917908,0.0539481749,0.0611828549,-0.001714652,0.0472066684,0.0004083629,0.0822099337,0.0800332915,0.0006679808,0.0799571781,0.0035212127
0.0124144218,0.2007198151,0.0872426844,0.019287429,0.1502522124,0.0059223655,0.3015362279,0.2029183453,0.23678388,0.0199479593,0.0077214968,0.0087569824,-0.08730121,0.0067565982,0.0207917289,0.0117665471,0.0114550086,0.0340101269,0.0114441146,0.1792819408
0.0083542663,0.1350740939,0.0587098316,0.012979446,0.1011119975,0.0039854468,0.2029183453,0.1365535914,0.1593433514,0.0134239488,0.0051961695,0.005892998,-0.058749216,0.0045468424,0.0139917623,0.00791828,0.0077086306,0.0228870631,0.0077012995,0.120647509
0.00974853,0.1576169369,0.0685080577,0.0151456172,0.1179868239,0.0046505877,0.23678388,0.1593433514,0.1859365497,0.0156643042,0.0060633709,0.0068764947,-0.068554015,0.005305676,0.0163268814,0.0092397809,0.0089951426,0.0267067406,0.008986588,0.1407826643
0.0008212691,0.0132785063,0.0057714907,0.1258287121,0.0099398505,0.0003917908,0.0199479593,0.0134239488,0.0156643042,0.130137927,0.0005108113,0.0005793132,0.1687145275,0.0004469789,0.1356425715,0.0007784093,0.0007577996,0.221877704,0.000757079,0.0118602958
0.1130857932,0.0051398713,-0.07812362,0.0004938969,0.0038475376,0.0539481749,0.0077214968,0.0051961695,0.0060633709,0.0005108113,0.0703368714,0.0797693454,-0.002235539,0.0615473901,0.0005324178,0.1071841549,0.1043462795,0.0008709039,0.1042470438,0.0045909075
0.1282510796,0.00582915,-0.08860033,0.0005601306,0.0043635088,0.0611828549,0.0087569824,0.005892998,0.0068764947,0.0005793132,0.0797693454,0.0904667543,-0.002535334,0.0698011572,0.0006038173,0.1215580065,0.1183395599,0.0009876959,0.1182270163,0.0052065678
-0.003594242,-0.058112694,-0.02525863,0.1631279381,-0.04350124,-0.001714652,-0.08730121,-0.058749216,-0.068554015,0.1687145275,-0.002235539,-0.002535334,0.261629618,-0.00195618,0.175850906,-0.003406668,-0.003316471,0.287648596,-0.003313317,-0.05190597
0.0989542936,0.0044975794,-0.068361086,0.0004321783,0.0033667391,0.0472066684,0.0067565982,0.0045468424,0.005305676,0.0004469789,0.0615473901,0.0698011572,-0.00195618,0.0538562656,0.0004658855,0.0937901397,0.0913068926,0.0007620735,0.0912200577,0.0040172156
