j,x1,x2,x3,pi
1,4.8698855706,5.1902910333,6.5003730254,0.1818163982
2,5.4180801665,4.6718510663,4.2914139284,0.1336106261
3,4.2549212031,3.3698597856,4.1681533621,0.1173065981
4,3.5434489653,5.6144691882,3.373447079,0.1216621868
5,1.9688025379,2.5568516555,2.3095137695,0.074869038
6,0.7435017406,0.9072699423,1.2780174511,0.0413780926
7,8.9656635403,10.08012254,9.4261896267,0.3015362279
8,3.3764419461,4.0768233769,4.4373803886,0.1365535914
9,6.4768960097,5.8383409921,6.3803561582,0.1859365497
10,4.8941052163,4.8485919642,4.362775309,0.130137927
11,1.7879365956,1.7909744315,2.4976483181,0.0703368714
12,2.2760093584,2.5745257453,2.9420350968,0.0904667543
13,9.0642723672,9.2258748674,8.6185085471,0.261629618
14,1.7312526232,1.3491221869,1.9397320705,0.0538562656
15,5.5221625686,5.8560150819,4.7779687956,0.1413800545
16,7.2877609891,3.9118652056,6.3673813617,0.1633345759
17,5.5723675537,3.988452928,5.553212884,0.1547999765
18,12.233683772,16.495817132,11.693535308,0.3782887638
19,6.2134281351,4.1534110993,5.7997340167,0.1545056799
20,3.7993791406,3.4994697773,3.2826235038,0.1065942043
