COL001,COL002,COL003,COL004,COL005,COL006,COL007,COL008,COL009,COL010,COL011,COL012,COL013,COL014,COL015,COL016,COL017,COL018,COL019,COL020
0.1818163982,0.0003191366,0.0002990317,0.1487285467,0.1166722711,0.086736473,-0.223837759,0.1575680239,0.0159076143,0.0003149619,0.1130857932,0.1282510796,0.0188697489,0.0085613211,0.0003282843,0.0003528541,0.0003435117,0.0226899944,0.000343185,-0.01173072
0.0003191366,0.1336106261,0.1251934823,0.0002610585,0.0002047911,0.0001522458,0.0009958344,0.0002765742,0.0037302359,0.131862845,0.0001984959,0.0002251151,0.0044248379,0.0020075762,0.1374404511,0.1477268931,0.1438155825,0.0053206615,0.1436788106,0.0243052831
0.0002990317,0.1251934823,0.1173065981,0.0002446125,0.0001918898,0.0001426547,0.0009330992,0.0002591507,0.0034952401,0.1235558072,0.0001859912,0.0002109334,0.0041460839,0.0018811037,0.1287820377,0.138420459,0.1347555514,0.0049854728,0.1346273958,0.0227741095
0.1487285467,0.0002610585,0.0002446125,0.1216621868,0.0954396715,0.0709517387,-0.183102651,0.128893012,0.0130126676,0.0002576436,0.0925058787,0.1049113109,0.0154357383,0.0070032894,0.0002685415,0.0002886399,0.0002809977,0.0185607565,0.0002807305,-0.009595905
0.1166722711,0.0002047911,0.0001918898,0.0954396715,0.074869038,0.0556591231,-0.143637537,0.1011119975,0.0102079763,0.0002021122,0.0725675816,0.0822992033,0.0121087893,0.0054938322,0.0002106613,0.0002264278,0.0002204328,0.0145602553,0.0002202231,-0.007527647
0.086736473,0.0001522458,0.0001426547,0.0709517387,0.0556591231,0.0413780926,-0.106782985,0.075168658,0.0075888114,0.0001502542,0.0539481749,0.0611828549,0.0090019134,0.0040842235,0.0001566098,0.0001683309,0.0001638741,0.0108243817,0.0001637182,-0.005596202
-0.223837759,0.0009958344,0.0009330992,-0.183102651,-0.143637537,-0.106782985,0.3015362279,-0.193985106,0.0496381502,0.0009828077,-0.139222153,-0.157892437,0.0588812008,0.0267147628,0.0010243791,0.0011010466,0.0010718945,0.0708019022,0.0010708751,-0.036604561
0.1575680239,0.0002765742,0.0002591507,0.128893012,0.1011119975,0.075168658,-0.193985106,0.1365535914,0.0137860577,0.0002729563,0.0980038387,0.1111465708,0.0163531402,0.0074195203,0.0002845019,0.0003057949,0.0002976984,0.0196638896,0.0002974153,-0.010166225
0.0159076143,0.0037302359,0.0034952401,0.0130126676,0.0102079763,0.0075888114,0.0496381502,0.0137860577,0.1859365497,0.0036814401,0.0098941856,0.011221038,0.220559535,0.100069217,0.0038371596,0.0041243438,0.0040151451,0.2652125704,0.0040113266,-0.137114813
0.0003149619,0.131862845,0.1235558072,0.0002576436,0.0002021122,0.0001502542,0.0009828077,0.0002729563,0.0036814401,0.130137927,0.0001958994,0.0002221703,0.0043669559,0.0019813147,0.1356425715,0.145794455,0.1419343089,0.0052510611,0.1417993261,0.0239873419
0.1130857932,0.0001984959,0.0001859912,0.0925058787,0.0725675816,0.0539481749,-0.139222153,0.0980038387,0.0098941856,0.0001958994,0.0703368714,0.0797693454,0.011736568,0.0053249531,0.0002041856,0.0002194675,0.0002136567,0.0141126765,0.0002134535,-0.007296249
0.1282510796,0.0002251151,0.0002109334,0.1049113109,0.0822992033,0.0611828549,-0.157892437,0.1111465708,0.011221038,0.0002221703,0.0797693454,0.0904667543,0.0133104918,0.006039052,0.0002315678,0.000248899,0.000242309,0.0160052466,0.0002420785,-0.008274707
0.0188697489,0.0044248379,0.0041460839,0.0154357383,0.0121087893,0.0090019134,0.0588812008,0.0163531402,0.220559535,0.0043669559,0.011736568,0.0133104918,0.261629618,0.1187029662,0.0045516718,0.0048923321,0.0047627996,0.3145974329,0.0047582701,-0.162646771
0.0085613211,0.0020075762,0.0018811037,0.0070032894,0.0054938322,0.0040842235,0.0267147628,0.0074195203,0.100069217,0.0019813147,0.0053249531,0.006039052,0.1187029662,0.0538562656,0.0020651215,0.0022196811,0.0021609115,0.1427347895,0.0021588564,-0.07379384
0.0003282843,0.1374404511,0.1287820377,0.0002685415,0.0002106613,0.0001566098,0.0010243791,0.0002845019,0.0038371596,0.1356425715,0.0002041856,0.0002315678,0.0045516718,0.0020651215,0.1413800545,0.1519613479,0.1479379232,0.0054731734,0.1477972309,0.0250019715
0.0003528541,0.1477268931,0.138420459,0.0002886399,0.0002264278,0.0001683309,0.0011010466,0.0003057949,0.0041243438,0.145794455,0.0002194675,0.000248899,0.0048923321,0.0022196811,0.1519613479,0.1633345759,0.1590100264,0.0058828015,0.1588588043,0.0268731916
0.0003435117,0.1438155825,0.1347555514,0.0002809977,0.0002204328,0.0001638741,0.0010718945,0.0002976984,0.0040151451,0.1419343089,0.0002136567,0.000242309,0.0047627996,0.0021609115,0.1479379232,0.1590100264,0.1547999765,0.0057270448,0.1546527582,0.02616168
0.0226899944,0.0053206615,0.0049854728,0.0185607565,0.0145602553,0.0108243817,0.0708019022,0.0196638896,0.2652125704,0.0052510611,0.0141126765,0.0160052466,0.3145974329,0.1427347895,0.0054731734,0.0058828015,0.0057270448,0.3782887638,0.0057215982,-0.195575169
0.000343185,0.1436788106,0.1346273958,0.0002807305,0.0002202231,0.0001637182,0.0010708751,0.0002974153,0.0040113266,0.1417993261,0.0002134535,0.0002420785,0.0047582701,0.0021588564,0.1477972309,0.1588588043,0.1546527582,0.0057215982,0.1545056799,0.0261367996
-0.01173072,0.0243052831,0.0227741095,-0.009595905,-0.007527647,-0.005596202,-0.036604561,-0.010166225,-0.137114813,0.0239873419,-0.007296249,-0.008274707,-0.162646771,-0.07379384,0.0250019715,0.0268731916,0.02616168,-0.195575169,0.0261367996,0.1065942043
