COL001,COL002,COL003,COL004,COL005,COL006,COL007,COL008,COL009,COL010,COL011,COL012,COL013,COL014,COL015,COL016,COL017,COL018,COL019,COL020,COL021,COL022,COL023,COL024,COL025,COL026,COL027,COL028,COL029,COL030,COL031,COL032,COL033,COL034,COL035,COL036,COL037,COL038,COL039,COL040,COL041,COL042,COL043,COL044,COL045,COL046,COL047,COL048,COL049,COL050,COL051,COL052,COL053,COL054,COL055,COL056,COL057,COL058,COL059,COL060
0.148966382,0.0000688995,-0.069999869,3.4225405E-6,0.0003226158,3.1893539E-7,0.0006474471,0.0062769322,0.0005084133,-0.00005551,0.0000822929,0.105079077,0.0000964137,0.0000720094,3.6894775E-6,0.0001254036,0.0141198877,6.0350728E-6,0.0141393159,0.0003849474,0.145502141,0.0001048527,0.1322329244,-0.005594386,0.0157109794,0.0000653638,5.4300681E-6,0.0000189297,0.1361146864,0.0000772285,0.0085504707,0.0050690072,0.1566298997,0.0000160773,0.0001312117,6.8205367E-6,0.0072546127,3.7153458E-7,0.0000379692,0.0103403634,0.0181973653,3.7771437E-7,7.5062501E-7,1.019904E-6,0.0000313022,0.0001766271,6.8922416E-7,0.1318320505,6.0730936E-7,0.0006414797,0.0001371967,0.0000345181,0.017412448,0.0000164924,0.0138206195,0.0996759551,0.0001044812,0.0000835911,-0.000491088,4.733656E-6
0.0000688995,0.1094702775,0.0008896791,0.0054378702,0.0131004971,1.47513E-10,0.0262909572,0.0012280807,0.0206451971,-0.088196023,3.8061882E-8,0.0000486009,0.1531860342,3.3305568E-8,0.0058619904,5.8001309E-8,6.5306882E-6,0.0095887667,6.5396741E-6,0.0156316005,0.0000672972,4.8496139E-8,0.00006116,0.0106148163,7.2665952E-6,0.1038526239,0.0086275109,8.7553125E-9,0.0000629554,0.1227038108,0.0016728981,0.0009917504,0.000072444,7.4360146E-9,6.0687631E-8,3.1546142E-9,0.0014193637,1.718411E-10,1.756138E-8,0.0020230903,8.416591E-6,1.746993E-10,3.471768E-10,4.71723E-10,1.4477797E-8,8.1693022E-8,3.187779E-10,0.0000609746,2.808909E-10,0.0260486391,6.3455789E-8,1.5965208E-8,8.0535534E-6,7.6280386E-9,6.3922716E-6,0.0000461018,0.1660039957,3.8662314E-8,0.1010910726,0.0075210233
-0.069999869,0.0008896791,0.0961120101,0.0000441943,0.0041658446,-1.49869E-7,0.0083602967,0.0810522031,0.0065649938,-0.00071678,-0.00003867,-0.049377058,0.0012449627,-0.000033837,0.0000476412,-0.000058928,-0.006634989,0.0000779291,-0.006644118,0.0049707135,-0.068372009,-0.000049271,-0.062136754,-0.07223868,-0.007382649,0.0008440237,0.0000701169,-8.895142E-6,-0.063960808,0.0009972297,0.1104097457,0.0654546185,-0.073600985,-7.554774E-6,-0.000061657,-3.204996E-6,0.0936767079,-1.745855E-7,-0.000017842,0.1335221115,-0.008551011,-1.774894E-7,-3.527215E-7,-4.792568E-7,-0.000014709,-0.000082998,-3.238691E-7,-0.061948381,-2.85377E-7,0.0082832416,-0.000064469,-0.00001622,-0.008182176,-7.749865E-6,-0.006494362,-0.04683811,0.0013491359,-0.00003928,-0.006341282,0.0000611243
3.4225405E-6,0.0054378702,0.0000441943,0.0996806447,0.0006507593,7.327622E-12,0.0013059875,0.0000610042,0.0010255378,0.0550824981,1.8907011E-9,2.4142185E-6,0.0076094242,1.6544341E-9,0.107455117,2.8811802E-9,3.2440801E-7,0.1757699988,3.2485438E-7,0.0007764904,3.3429487E-6,2.4090166E-9,3.0380851E-6,0.0005272846,3.6096375E-7,0.0051588167,0.158149387,4.349149E-10,3.1272696E-6,0.0060952381,0.0000831002,0.0000492646,3.5986118E-6,3.693796E-10,3.0146216E-9,1.567036E-10,0.000070506,8.536102E-12,8.72351E-10,0.0001004958,4.180891E-7,8.678084E-12,1.72458E-11,2.343255E-11,7.191759E-10,4.0580518E-9,1.58351E-11,3.0288749E-6,1.395309E-11,0.0012939505,3.1521282E-9,7.930621E-10,4.0005543E-7,3.789182E-10,3.1753225E-7,2.2900804E-6,0.0082461487,1.9205272E-9,0.0050216383,0.1378665578
0.0003226158,0.0131004971,0.0041658446,0.0006507593,0.0613419352,6.90717E-10,0.1231051142,0.0057503806,0.0966693348,-0.01055457,1.7822144E-7,0.0002275693,0.0183320372,1.5595042E-7,0.0007015145,2.7158607E-7,0.0000305794,0.0011475043,0.0000306215,0.0731936058,0.0003151133,2.2707894E-7,0.0002863763,0.0497029516,0.0000340252,0.0124282228,0.0010324691,4.0995987E-8,0.000294783,0.0146841769,0.0078331992,0.0046437845,0.0003392127,3.481849E-8,2.8416454E-7,1.4771206E-8,0.0066460466,8.046308E-10,8.2229632E-8,0.0094729437,0.00003941,8.180143E-10,1.6256252E-9,2.2088016E-9,6.7791023E-8,3.8252045E-7,1.4926497E-9,0.0002855081,1.3152472E-9,0.1219704806,2.971262E-7,7.4755694E-8,0.0000377101,3.5717626E-8,0.0000299313,0.0002158678,0.0198659848,1.8103291E-7,-0.093375181,0.0009000538
3.1893539E-7,1.47513E-10,-1.49869E-7,7.327622E-12,6.90717E-10,0.0339020287,1.3861772E-9,1.3438843E-8,1.0885074E-9,-1.18846E-10,0.0002233461,2.2497315E-7,2.064208E-10,0.0001954362,7.899131E-12,0.0003403502,-0.000019723,1.292102E-11,2.8554462E-6,8.241681E-10,3.1151849E-7,0.0002845741,2.8310924E-7,-1.197752E-8,3.1728449E-6,1.399432E-10,1.162572E-11,0.0011196399,2.9142005E-7,1.653455E-10,1.8306464E-8,1.0852689E-8,3.353429E-7,0.0009509265,0.0003561134,-0.043676144,1.5532046E-8,0.0394931897,0.0022457704,2.2138605E-8,3.6749726E-6,0.0401500862,0.0797895467,0.1084132256,0.0018514381,0.0004793725,0.073262792,-1.94815E-6,0.0645554543,1.3734011E-9,-0.001499669,0.00204165,3.5164579E-6,0.0009754827,2.7910852E-6,2.1340513E-7,2.236932E-10,0.0002268695,-1.051415E-9,1.013471E-11
0.0006474471,0.0262909572,0.0083602967,0.0013059875,0.1231051142,1.3861772E-9,0.2470556085,0.0115402498,0.1940025116,-0.02118162,3.5766675E-7,0.0004567013,0.0367899631,3.1297177E-7,0.0014078464,5.4503716E-7,0.0000613687,0.0023028886,0.0000614532,0.1468898423,0.0006323906,4.5571727E-7,0.0005747191,0.0997472205,0.0000682841,0.024941792,0.0020720284,8.2273499E-8,0.0005915903,0.0294691922,0.0157201902,0.0093194586,0.0006807548,6.9876083E-8,5.7028048E-7,2.9643848E-8,0.0133377326,1.6147871E-9,1.6502395E-7,0.0190109394,0.0000790905,1.6416461E-9,3.2624139E-9,4.4327713E-9,1.3604758E-7,7.6766772E-7,2.9955497E-9,0.0005729768,2.6395263E-9,0.2447785497,5.962928E-7,1.5002475E-7,0.0000756791,7.1680529E-8,0.0000600681,0.0004332179,0.0398683922,3.63309E-7,-0.187391583,0.0018062885
0.0062769322,0.0012280807,0.0810522031,0.0000610042,0.0057503806,1.3438843E-8,0.0115402498,0.111881517,0.009062079,-0.000989418,3.4675418E-6,0.0044276717,0.0017185012,3.0342286E-6,0.0000657621,5.2840784E-6,0.0005949636,0.0001075706,0.0005957823,0.0068613924,0.0061309609,4.4181313E-6,0.0055718417,-0.09971565,0.0006620068,0.0011650596,0.0000967868,7.9763298E-7,0.0057354058,0.0013765396,0.1524056024,0.0903511778,0.0065998465,6.7744133E-7,5.5288097E-6,2.8739401E-7,0.1293079249,1.5655192E-8,1.5998899E-6,0.1843090725,0.0007667745,1.5915588E-8,3.1628762E-8,4.2975255E-8,1.318967E-6,7.4424584E-6,2.9041541E-8,0.0055549502,2.5589932E-8,0.0114338858,5.7809964E-6,1.4544743E-6,0.0007337008,6.9493525E-7,0.0005823535,0.0042000027,0.0018622982,3.5222428E-6,-0.008753275,0.0000843738
0.0005084133,0.0206451971,0.0065649938,0.0010255378,0.0966693348,1.0885074E-9,0.1940025116,0.009062079,0.1523421174,-0.016633047,2.8086085E-7,0.0003586286,0.0288896305,2.4576374E-7,0.0011055233,4.2799505E-7,0.0000481903,0.0018083628,0.0000482566,0.1153464943,0.0004965901,3.5785585E-7,0.000451303,0.0783273507,0.0000536206,0.0195857537,0.0016270778,6.4605963E-8,0.0004645513,0.023140933,0.0123444126,0.0073181839,0.0005345685,5.4870787E-8,4.4781758E-7,2.3278083E-8,0.0104735676,1.2680253E-9,1.2958645E-7,0.0149285014,0.0000621065,1.2891165E-9,2.5618382E-9,3.4808713E-9,1.0683251E-7,6.0281759E-7,2.3522808E-9,0.0004499349,2.0727104E-9,0.1922144319,4.6824398E-7,1.178082E-7,0.0000594276,5.6287743E-8,0.0000471689,0.0003401881,0.031306993,2.8529147E-7,-0.14715083,0.0014184034
-0.00005551,-0.088196023,-0.00071678,0.0550824981,-0.01055457,-1.18846E-10,-0.02118162,-0.000989418,-0.016633047,0.1066250147,-3.0665E-8,-0.000039156,-0.123416138,-2.683302E-8,0.0593785914,-4.672944E-8,-5.261526E-6,0.0971286919,-5.268766E-6,-0.012593784,-0.000054219,-3.907149E-8,-0.000049274,-0.008551952,-5.854418E-6,-0.083670094,0.0873917231,-7.053821E-9,-0.000050721,-0.098857775,-0.00134779,-0.000799015,-0.000058365,-5.990913E-9,-4.889371E-8,-2.541552E-9,-0.001143527,-1.38446E-10,-1.414853E-8,-0.001629927,-6.780926E-6,-1.40749E-10,-2.79707E-10,-3.80049E-10,-1.166421E-8,-6.581695E-8,-2.56827E-10,-0.000049125,-2.26303E-10,-0.020986394,-5.112391E-8,-1.286256E-8,-6.48844E-6,-6.145619E-9,-5.150009E-6,-0.000037142,-0.133743081,-3.114875E-8,-0.081445217,0.0761836405
